id,saleprice
2658,154721.19002673624
2718,176603.07954995244
2414,230147.2981397515
1989,110047.82411529741
625,161650.7693330201
333,80179.78780752167
1327,100077.9444590508
858,160296.77864676403
95,177230.86192536686
1568,162367.05094932762
2482,154606.30964016548
1364,117532.3803023714
2584,144498.8696116278
818,256790.22429603356
2673,157077.5282012805
2089,113696.6273440577
1297,149768.08928390453
790,115293.61674430249
2616,195101.77821313406
720,210000.23510994378
222,141826.31188634585
557,115193.67198608354
1148,183955.11619228762
2766,167850.33481134524
534,188821.12140007375
1452,125540.61496988923
630,116517.84231897607
2648,141834.6938315257
125,175224.62589944058
1904,33628.38114005205
1670,97895.51611351312
756,83488.80241569679
717,238015.88478821187
1032,164902.86580935793
852,204416.34469802276
1731,192613.70334215986
2639,121793.73231115798
2071,71199.10395859033
1267,123335.40191124036
1851,189764.70777819003
567,169240.69511445257
2439,208596.88157388242
1898,146940.39639435874
647,168065.69518079434
2256,214962.9598846581
979,103326.09613635048
1444,217872.00003401126
2485,114185.54725837166
157,113257.16375592092
88,126940.35175242361
2003,113706.75917920127
186,223213.1942478913
1425,233405.64702159783
2695,125680.26676849756
738,91312.36747324743
395,157223.77405835094
1353,173068.84060623258
1878,134599.25151642435
390,163304.2360375601
1456,228225.47073231477
1103,335335.08055634366
1387,159791.1991491792
2070,130542.92301724454
1199,179246.21508323067
2479,183870.53125759168
501,301780.0308691954
2362,93728.4071187432
1718,245763.88354266886
2188,74624.30422183598
1483,156787.77080646117
2557,56901.26643201128
437,367857.9041948528
2224,174294.55442836625
1628,173727.32594362626
397,133851.5858831147
587,200960.06998474797
2182,591901.682781975
971,137350.16052032154
2611,147589.23753090322
1887,94392.34406928814
2399,366784.32641168847
2148,199566.547859404
304,108154.62629710788
1997,135949.42656461793
2817,102334.47842121685
1431,195502.029173201
427,346411.32816932397
263,123230.06265002702
598,180451.20039308906
2895,225350.33679117844
687,141590.09848495037
1822,138838.4854239633
2191,99204.68412101666
179,116952.01321742294
1009,245889.13652039433
2010,121676.3050131049
1991,142777.8970727807
1411,188098.2424224826
1721,249741.3438689104
1144,195217.79934486243
593,227192.21215125776
575,317137.23783959413
1249,163407.0568304145
1604,118969.8362364697
1064,452120.8231865482
1923,159968.40532484624
1988,122446.16330649209
2325,166549.7518175783
114,198349.2711849978
2700,208431.10991833135
217,150457.33815247106
343,173918.75918336384
386,221446.6467116971
2005,110768.01799851515
2908,135707.79796951826
1814,260336.0022479393
2446,462214.24423776334
208,146019.34359115333
1679,90935.35900812804
822,314292.3421555257
6,188177.0411822598
1781,372257.983707665
2397,303221.38261933456
2340,330100.1795947226
1618,169919.55259036453
2843,146485.3431354181
1061,357874.19346245314
2786,117914.6262832802
1935,139033.55063037365
1341,102463.96338982266
521,240880.78378687688
2136,131122.89611619987
996,197104.07437549907
227,125571.74046037078
135,196118.35378593346
1167,158320.81812124085
294,223626.2007188912
1776,224388.35989642033
540,177037.95450278622
1717,264827.18470662547
2303,125630.32599669343
116,189866.2521346267
127,124664.51135774894
1371,129394.69284210147
1014,173568.03016579838
1507,108275.27283469148
702,148380.61729845227
750,147145.39548824736
261,156039.37377828936
1559,63660.67138531194
577,242856.13545394305
2812,201819.45470528322
2080,175404.8446725965
1368,119303.20697409225
2376,123868.35063438973
659,118085.93791927796
1235,141536.62570738152
332,61083.08005829643
1917,152593.3134273736
2094,226674.62750270579
1460,244054.72909126332
1471,219331.570726628
1509,120992.3100308231
1922,129285.39420421053
433,467964.52559778397
460,267661.8349017219
1116,207916.5943756702
1137,171001.5107136107
53,163708.002673126
2354,276479.6439278388
1475,200523.5695410531
1761,521225.62553525483
842,126021.03224498488
2739,186984.01763700004
2509,161696.6532880138
1007,205115.5254555317
2610,189618.3022925033
1952,91134.84425570311
2719,185728.38664191417
2921,72309.89564956243
1966,159490.64978614118
292,116266.34101052055
1204,190717.6807052865
1829,261417.70147348143
2419,207618.49774402007
391,140998.96402602765
798,117236.11869269372
481,200326.76400429796
193,205426.48626214536
555,105517.99676459082
899,42362.745442581945
2357,167543.29327883458
328,144082.71645287407
1356,91466.38963997726
1154,98900.84654766263
1730,197576.266193502
2249,145903.9018627411
1119,271845.70638260315
2856,152699.54979062395
1394,135469.17063839402
2587,113089.2790334343
61,306668.77032655367
2661,177178.1229795305
2711,144183.07917583786
1147,194199.82379262845
757,130589.19772077675
2623,97593.53606350592
2378,137014.13773529805
1413,160288.29816439017
1722,219626.21542999626
1112,205030.67431635494
1623,184033.70351290188
1201,204335.93452874577
1513,118861.3124222921
957,449385.7726922579
1171,254875.9921572787
1145,205260.83636299387
2726,237298.50440599667
703,147039.7100758657
760,117122.40578748396
1964,160622.67686472475
2512,169366.83331044682
159,150581.50174671467
1281,161075.574217981
468,187657.58066384326
290,108858.25730255879
665,100651.44458704616
1463,248195.44989129523
1792,217462.06919284852
923,143653.29446812323
500,272914.9901006746
1408,192324.56548810282
331,63514.32361238518
170,109420.27862471982
2192,86320.88575422601
2571,296982.40500185225
2314,163027.96918251514
2647,94979.94046222743
422,400541.2155077063
2457,344861.26893697144
1838,189640.2425918668
2805,264392.80077249545
1645,152888.6357782353
1711,302977.42541735846
2825,238796.0524120224
322,311201.0935467995
2103,259820.27284578682
342,127445.47238024074
600,112445.78824829345
488,168824.097192519
1725,323662.7153520429
2246,283445.4891825664
2847,148999.39418441826
806,245001.5789012207
530,220400.63638364666
963,191787.24227131446
2678,94437.91999808466
171,90719.14450154669
2401,428622.2670537004
805,216875.6860973852
2259,214447.00657251693
1748,176682.33778798702
1361,150950.13214000917
1677,125062.78547278106
1406,133960.18754186414
2322,245207.23260063882
688,152686.25120273192
143,155127.97623209583
804,209843.644678088
1214,174188.53635001092
2828,156599.2414589207
1999,207179.20728233163
2467,207932.87834794345
2665,165300.8317868722
1538,297893.55812134774
398,107039.63130320981
2822,141462.39203288482
2157,146674.09249263827
1856,203526.75832379147
1269,87633.7842607021
2570,127969.88836258731
2320,217100.24160310923
1517,135362.386496695
2304,118405.41497336785
1312,83416.11130803631
2012,121823.41032849712
506,275388.67737808946
2865,211965.68937373895
2367,113472.15169658218
554,82720.0038270578
238,146499.27914390253
1954,112206.39481142431
2488,146216.45453808742
2291,74106.18301603658
1969,109659.83388651609
2725,165107.97130968477
1482,147900.48644372143
2763,201150.9763214447
503,271654.91449148906
1584,244923.4119633689
1531,119428.47892706325
2210,176335.53754071268
459,344181.93802682427
556,125010.39938934686
1347,145305.25053852613
1290,63846.468696994576
1388,99957.14702471929
1571,342975.470848933
2754,212811.83780519673
765,162727.2421938861
2494,133921.92693125166
2870,209179.669022473
7,254473.84255382034
1114,239838.31331848435
2418,283651.7834044644
291,171129.5663544841
18,375619.2503980634
39,396630.2752764532
1001,299023.5651935189
2442,230808.33836157894
616,113162.89316121183
2680,68236.47181243244
1414,118131.08652113008
289,167959.23497180408
40,284045.6370322133
860,125365.72967591381
409,125370.85031176356
673,152480.3123052925
2427,194931.4550641105
2036,214721.21644239407
2564,138812.47188189696
642,163793.26758428675
1008,184906.04722968914
1908,152687.34354314618
2519,215744.6661972042
1369,82274.19839986962
2855,163715.31132006575
712,104287.6384019885
1943,127886.95382032543
1958,133810.6476233676
107,166839.38149415748
2295,214380.67961665682
704,108238.0693728301
676,145129.3932285507
259,180410.5428403848
93,307766.4917450022
106,229709.1624647004
2315,163755.48796441013
1050,105732.71963741316
1095,216755.4041964696
2709,146165.52219910748
758,160090.4732103395
1496,159543.07090530443
2370,134979.17036952035
2458,280473.0799575077
2733,129362.7686265597
161,267005.5559247013
726,142256.90697965265
845,219150.38823467412
947,244951.90453389136
2232,114609.70246847102
2563,147956.08915979968
2299,159334.60187685318
211,70049.40741007839
605,159646.91875469786
1478,205270.89851232583
2247,259719.4200215419
2274,211530.3392693758
2869,204325.41120141704
967,215882.6046390958
2656,112565.37957072184
667,203915.12349704604
1042,117694.67746559955
2023,150132.41999826563
2447,376591.5984443231
2055,129854.76903088838
2275,283530.40659693023
2204,174074.8281751424
1563,255114.63127862292
483,247135.14550935058
796,132230.49322838342
1526,149387.208663493
2042,135776.04235639435
442,344788.7594538757
1693,335286.8612822736
1468,222768.57408028375
1430,183820.1422782879
2605,177459.46896960353
1529,205007.54764277118
335,158881.28793293898
1287,124040.82256676006
31,101839.47180166194
1785,296388.1193419124
82,148580.9056442668
2620,144454.4346503343
252,170415.00974583413
721,42871.94197614596
2165,202158.85392756577
